DATE,M2SL
2016-06-01,12830.6
2016-07-01,12889.1
2016-08-01,12968.2
2016-09-01,13027.4
2016-10-01,13099.7
2016-11-01,13174.1
2016-12-01,13214.2
2017-01-01,13288.7
2017-02-01,13359.2
2017-03-01,13428.6
2017-04-01,13486.6
2017-05-01,13537.3
2017-06-01,13564.7
2017-07-01,13621.8
2017-08-01,13671.4
2017-09-01,13714.4
2017-10-01,13767.6
2017-11-01,13802.4
2017-12-01,13854.8
2018-01-01,13872.0
2018-02-01,13914.6
2018-03-01,13971.2
2018-04-01,14001.3
2018-05-01,14066.0
2018-06-01,14125.8
2018-07-01,14155.2
2018-08-01,14197.7
2018-09-01,14228.4
2018-10-01,14235.8
2018-11-01,14254.9
2018-12-01,14373.9
2019-01-01,14443.3
2019-02-01,14486.2
2019-03-01,14533.5
2019-04-01,14568.9
2019-05-01,14668.4
2019-06-01,14787.0
2019-07-01,14857.9
2019-08-01,14935.2
2019-09-01,15026.6
2019-10-01,15153.1
2019-11-01,15251.3
2019-12-01,15325.8
2020-01-01,15406.8
2020-02-01,15470.4
2020-03-01,16011.4
2020-04-01,17039.1
2020-05-01,17889.2
2020-06-01,18175.7
2020-07-01,18316.6
2020-08-01,18378.5
2020-09-01,18601.6
2020-10-01,18747.9
2020-11-01,18958.7
2020-12-01,19129.5
2021-01-01,19393.2
2021-02-01,19665.4
2021-03-01,19913.3
2021-04-01,20138.3
2021-05-01,20402.2
2021-06-01,20428.8
2021-07-01,20578.1
